Frame,X,Y,Width,Height,Area,Angle,Width-S,Height-S,Altitude,center-ix,center-iy,center-ox,center-oy,M-dist,E-dist,GSD-X,GSD-Y,X-cm,Y-cm,GSD
102,1783,1087,118,117,13806,-40.02164466,3840,2160,42,1920,1080,1842,1145.5,143.5,101.8540623,1.43220339,1.52991453,169,179,1.415
103,1778,1087,118,117,13806,-38.27897042,3840,2160,42,1920,1080,1837,1145.5,148.5,105.7319725,1.43220339,1.52991453,169,179,1.415
104,1772,1087,118,117,13806,-36.35139796,3840,2160,42,1920,1080,1831,1145.5,154.5,110.5045248,1.43220339,1.52991453,169,179,1.415
105,1766,1087,118,117,13806,-34.58524124,3840,2160,42,1920,1080,1825,1145.5,160.5,115.3917241,1.43220339,1.52991453,169,179,1.415
106,1760,1088,118,117,13806,-33.36154028,3840,2160,42,1920,1080,1819,1146.5,167.5,120.9266306,1.43220339,1.52991453,169,179,1.415
107,1754,1088,118,117,13806,-31.86075807,3840,2160,42,1920,1080,1813,1146.5,173.5,125.9811494,1.43220339,1.52991453,169,179,1.415
108,1747,1088,118,117,13806,-30.25643716,3840,2160,42,1920,1080,1806,1146.5,180.5,131.9782179,1.43220339,1.52991453,169,179,1.415
109,1740,1087,118,118,13924,-28.61045967,3840,2160,42,1920,1080,1799,1146,187,137.8296049,1.43220339,1.516949153,169,179,1.415
110,1733,1088,119,117,13923,-27.54513221,3840,2160,42,1920,1080,1792.5,1146.5,194,143.8002086,1.420168067,1.52991453,169,179,1.415
111,1726,1088,118,118,13924,-26.39503453,3840,2160,42,1920,1080,1785,1147,202,150.7116452,1.43220339,1.516949153,169,179,1.415
112,1718,1088,118,118,13924,-25.10456867,3840,2160,42,1920,1080,1777,1147,210,157.9177001,1.43220339,1.516949153,169,179,1.415
113,1711,1088,118,118,13924,-24.0687233,3840,2160,42,1920,1080,1770,1147,217,164.2832919,1.43220339,1.516949153,169,179,1.415
114,1703,1080,118,126,14868,-21.73885953,3840,2160,42,1920,1080,1762,1143,221,170.0970311,1.43220339,1.420634921,169,179,1.415
115,1694,1088,118,118,13924,-21.86053824,3840,2160,42,1920,1080,1753,1147,234,179.9388785,1.43220339,1.516949153,169,179,1.415
116,1686,1089,118,117,13806,-21.09233951,3840,2160,42,1920,1080,1745,1147.5,242.5,187.5666548,1.43220339,1.52991453,169,179,1.415
117,1678,1089,117,117,13689,-20.19591486,3840,2160,42,1920,1080,1736.5,1147.5,251,195.5210986,1.444444444,1.52991453,169,179,1.415
118,1668,1089,118,118,13924,-19.40897179,3840,2160,42,1920,1080,1727,1148,261,204.6289325,1.43220339,1.516949153,169,179,1.415
119,1660,1089,117,118,13806,-18.6479433,3840,2160,42,1920,1080,1718.5,1148,269.5,212.6646421,1.444444444,1.516949153,169,179,1.415
120,1650,1090,118,117,13806,-17.98573951,3840,2160,42,1920,1080,1709,1148.5,279.5,221.8405959,1.43220339,1.52991453,169,179,1.415
121,1641,1090,118,118,13924,-17.41332167,3840,2160,42,1920,1080,1700,1149,289,230.5666932,1.43220339,1.516949153,169,179,1.415
122,1631,1090,118,117,13806,-16.58490437,3840,2160,42,1920,1080,1690,1148.5,298.5,239.9838536,1.43220339,1.52991453,169,179,1.415
123,1621,1090,118,118,13924,-16.03994331,3840,2160,42,1920,1080,1680,1149,309,249.7218453,1.43220339,1.516949153,169,179,1.415
124,1611,1090,118,117,13806,-15.32297021,3840,2160,42,1920,1080,1670,1148.5,318.5,259.2146794,1.43220339,1.52991453,169,179,1.415
125,1601,1091,117,116,13572,-14.83554767,3840,2160,42,1920,1080,1659.5,1149,329.5,269.4833019,1.444444444,1.543103448,169,179,1.415
126,1590,1082,118,125,14750,-13.38773382,3840,2160,42,1920,1080,1649,1144.5,335.5,278.5700092,1.43220339,1.432,169,179,1.415
127,1580,1090,117,118,13806,-13.77254091,3840,2160,42,1920,1080,1638.5,1149,350.5,289.8331417,1.444444444,1.516949153,169,179,1.415
128,1569,1091,117,117,13689,-13.3660128,3840,2160,42,1920,1080,1627.5,1149.5,362,300.6434766,1.444444444,1.52991453,169,179,1.415
129,1558,1091,117,117,13689,-12.89806646,3840,2160,42,1920,1080,1616.5,1149.5,373,311.3559057,1.444444444,1.52991453,169,179,1.415
130,1547,1092,117,117,13689,-12.63485732,3840,2160,42,1920,1080,1605.5,1150.5,385,322.3049798,1.444444444,1.52991453,169,179,1.415
131,1535,1092,117,116,13572,-12.10074911,3840,2160,42,1920,1080,1593.5,1150,396.5,333.9195262,1.444444444,1.543103448,169,179,1.415
132,1524,1092,117,117,13689,-11.79879245,3840,2160,42,1920,1080,1582.5,1150.5,408,344.7847154,1.444444444,1.52991453,169,179,1.415
133,1512,1093,117,116,13572,-11.48322135,3840,2160,42,1920,1080,1570.5,1151,420.5,356.6388229,1.444444444,1.543103448,169,179,1.415
134,1500,1093,116,116,13456,-11.09671152,3840,2160,42,1920,1080,1558,1151,433,368.8970046,1.456896552,1.543103448,169,179,1.415
135,1488,1093,116,116,13456,-10.74909525,3840,2160,42,1920,1080,1546,1151,445,380.6796554,1.456896552,1.543103448,169,179,1.415
136,1475,1093,117,117,13689,-10.4808598,3840,2160,42,1920,1080,1533.5,1151.5,458,393.0578838,1.444444444,1.52991453,169,179,1.415
137,1463,1094,116,116,13456,-10.22900829,3840,2160,42,1920,1080,1521,1152,471,405.4442008,1.456896552,1.543103448,169,179,1.415
138,1450,1094,116,116,13456,-9.912751447,3840,2160,42,1920,1080,1508,1152,484,418.243948,1.456896552,1.543103448,169,179,1.415
139,1437,1094,116,116,13456,-9.615285405,3840,2160,42,1920,1080,1495,1152,497,431.0556809,1.456896552,1.543103448,169,179,1.415
140,1424,1095,116,116,13456,-9.462322208,3840,2160,42,1920,1080,1482,1153,511,444.0416647,1.456896552,1.543103448,169,179,1.415
141,1410,1095,116,116,13456,-9.174302762,3840,2160,42,1920,1080,1468,1153,525,457.8569646,1.456896552,1.543103448,169,179,1.415
142,1395,1095,116,116,13456,-8.884401771,3840,2160,42,1920,1080,1453,1153,540,472.671133,1.456896552,1.543103448,169,179,1.415
143,1380,1095,116,116,13456,-8.612126841,3840,2160,42,1920,1080,1438,1153,555,487.4966667,1.456896552,1.543103448,169,179,1.415
144,1366,1095,116,117,13572,-8.429062247,3840,2160,42,1920,1080,1424,1153.5,569.5,501.4162443,1.456896552,1.52991453,169,179,1.415
145,1352,1096,116,115,13340,-8.20086697,3840,2160,42,1920,1080,1410,1153.5,583.5,515.2691044,1.456896552,1.556521739,169,179,1.415
146,1339,1097,115,115,13225,-8.099454708,3840,2160,42,1920,1080,1396.5,1154.5,598,528.7745266,1.469565217,1.556521739,169,179,1.415
147,1326,1097,115,116,13340,-7.958088391,3840,2160,42,1920,1080,1383.5,1155,611.5,541.7169464,1.469565217,1.543103448,169,179,1.415
148,1314,1098,115,115,13225,-7.837406154,3840,2160,42,1920,1080,1371.5,1155.5,624,553.6718342,1.469565217,1.556521739,169,179,1.415
149,1302,1098,115,117,13455,-7.772008395,3840,2160,42,1920,1080,1359.5,1156.5,637,565.6964734,1.469565217,1.52991453,169,179,1.415
150,1291,1099,115,116,13340,-7.673431992,3840,2160,42,1920,1080,1348.5,1157,648.5,576.6638969,1.469565217,1.543103448,169,179,1.415
151,1281,1100,114,116,13224,-7.633330587,3840,2160,42,1920,1080,1338,1158,660,587.2035422,1.48245614,1.543103448,169,179,1.415
152,1270,1101,115,115,13225,-7.547131815,3840,2160,42,1920,1080,1327.5,1158.5,671,597.6775887,1.469565217,1.556521739,169,179,1.415
153,1260,1102,115,115,13225,-7.516766263,3840,2160,42,1920,1080,1317.5,1159.5,682,607.7223873,1.469565217,1.556521739,169,179,1.415
154,1250,1103,115,114,13110,-7.44140549,3840,2160,42,1920,1080,1307.5,1160,692.5,617.702396,1.469565217,1.570175439,169,179,1.415
155,1241,1103,114,115,13110,-7.374299291,3840,2160,42,1920,1080,1298,1160.5,702.5,627.1875716,1.48245614,1.556521739,169,179,1.415
156,1232,1104,114,115,13110,-7.359582027,3840,2160,42,1920,1080,1289,1161.5,712.5,636.2415029,1.48245614,1.556521739,169,179,1.415
157,1223,1105,115,115,13225,-7.350957946,3840,2160,42,1920,1080,1280.5,1162.5,722,644.7995813,1.469565217,1.556521739,169,179,1.415
158,1215,1106,114,115,13110,-7.342559791,3840,2160,42,1920,1080,1272,1163.5,731.5,653.3576739,1.48245614,1.556521739,169,179,1.415
159,1207,1107,114,114,12996,-7.296946154,3840,2160,42,1920,1080,1264,1164,740,661.3561824,1.48245614,1.570175439,169,179,1.415
160,1199,1107,115,114,13110,-7.215337885,3840,2160,42,1920,1080,1256.5,1164,747.5,668.7961199,1.469565217,1.570175439,169,179,1.415
161,1192,1108,114,114,12996,-7.219581093,3840,2160,42,1920,1080,1249,1165,756,676.3623289,1.48245614,1.570175439,169,179,1.415
162,1185,1109,114,114,12996,-7.229001316,3840,2160,42,1920,1080,1242,1166,764,683.4325131,1.48245614,1.570175439,169,179,1.415
163,1178,1110,114,114,12996,-7.238228627,3840,2160,42,1920,1080,1235,1167,772,690.5027154,1.48245614,1.570175439,169,179,1.415
164,1172,1111,114,114,12996,-7.257645231,3840,2160,42,1920,1080,1229,1168,779,696.5809357,1.48245614,1.570175439,169,179,1.415
165,1166,1112,114,114,12996,-7.276725914,3840,2160,42,1920,1080,1223,1169,786,702.6592346,1.48245614,1.570175439,169,179,1.415
166,1161,1112,114,113,12882,-7.185280097,3840,2160,42,1920,1080,1218,1168.5,790.5,707.5565348,1.48245614,1.584070796,169,179,1.415
167,1156,1113,113,113,12769,-7.209721762,3840,2160,42,1920,1080,1212.5,1169.5,797,713.1384858,1.495575221,1.584070796,169,179,1.415
168,1151,1114,114,113,12882,-7.243835733,3840,2160,42,1920,1080,1208,1170.5,802.5,717.728535,1.48245614,1.584070796,169,179,1.415
169,1147,1115,113,113,12769,-7.277516132,3840,2160,42,1920,1080,1203.5,1171.5,808,722.3188354,1.495575221,1.584070796,169,179,1.415
170,1143,1116,114,114,12996,-7.359954159,3840,2160,42,1920,1080,1200,1173,813,725.9814047,1.48245614,1.570175439,169,179,1.415
171,1139,1116,114,113,12882,-7.280803623,3840,2160,42,1920,1080,1196,1172.5,816.5,729.8850937,1.48245614,1.584070796,169,179,1.415
172,1136,1117,113,113,12769,-7.32363963,3840,2160,42,1920,1080,1192.5,1173.5,821,733.4838103,1.495575221,1.584070796,169,179,1.415
173,1133,1118,114,112,12768,-7.337436533,3840,2160,42,1920,1080,1190,1174,824,736.0271734,1.48245614,1.598214286,169,179,1.415
174,1131,1119,113,112,12656,-7.38960455,3840,2160,42,1920,1080,1187.5,1175,827.5,738.6347203,1.495575221,1.598214286,169,179,1.415
175,1129,1119,113,113,12769,-7.408062777,3840,2160,42,1920,1080,1185.5,1175.5,830,740.6824556,1.495575221,1.584070796,169,179,1.415
176,1127,1120,114,114,12996,-7.507939834,3840,2160,42,1920,1080,1184,1177,833,742.3644657,1.48245614,1.570175439,169,179,1.415
177,1126,1120,113,115,12995,-7.531023831,3840,2160,42,1920,1080,1182.5,1177.5,835,743.9169981,1.495575221,1.556521739,169,179,1.415
178,1125,1121,113,114,12882,-7.559066981,3840,2160,42,1920,1080,1181.5,1178,836.5,744.9739928,1.495575221,1.570175439,169,179,1.415
179,1124,1122,113,113,12769,-7.58703066,3840,2160,42,1920,1080,1180.5,1178.5,838,746.0311656,1.495575221,1.584070796,169,179,1.415
180,1123,1122,113,114,12882,-7.614915193,3840,2160,42,1920,1080,1179.5,1179,839.5,747.0885155,1.495575221,1.570175439,169,179,1.415
181,1122,1123,113,113,12769,-7.642720901,3840,2160,42,1920,1080,1178.5,1179.5,841,748.1460419,1.495575221,1.584070796,169,179,1.415
