Frame,X,Y,Width,Height,Area,Angle,Width-S,Height-S,Height-D,center-ix,center-iy,center-ox,center-oy,M-dist,E-dist,X-cm,Y-cm
149,1302,1098,115,117,13455,-7.772008395,3840,2160,42,1920,1080,1359.5,1156.5,637,565.6964734,169,179
150,1291,1099,115,116,13340,-7.673431992,3840,2160,42,1920,1080,1348.5,1157,648.5,576.6638969,169,179
151,1281,1100,114,116,13224,-7.633330587,3840,2160,42,1920,1080,1338,1158,660,587.2035422,169,179
152,1270,1101,115,115,13225,-7.547131815,3840,2160,42,1920,1080,1327.5,1158.5,671,597.6775887,169,179
153,1260,1102,115,115,13225,-7.516766263,3840,2160,42,1920,1080,1317.5,1159.5,682,607.7223873,169,179
154,1250,1103,115,114,13110,-7.44140549,3840,2160,42,1920,1080,1307.5,1160,692.5,617.702396,169,179
155,1241,1103,114,115,13110,-7.374299291,3840,2160,42,1920,1080,1298,1160.5,702.5,627.1875716,169,179
156,1232,1104,114,115,13110,-7.359582027,3840,2160,42,1920,1080,1289,1161.5,712.5,636.2415029,169,179
157,1223,1105,115,115,13225,-7.350957946,3840,2160,42,1920,1080,1280.5,1162.5,722,644.7995813,169,179
158,1215,1106,114,115,13110,-7.342559791,3840,2160,42,1920,1080,1272,1163.5,731.5,653.3576739,169,179
159,1207,1107,114,114,12996,-7.296946154,3840,2160,42,1920,1080,1264,1164,740,661.3561824,169,179
160,1199,1107,115,114,13110,-7.215337885,3840,2160,42,1920,1080,1256.5,1164,747.5,668.7961199,169,179
161,1192,1108,114,114,12996,-7.219581093,3840,2160,42,1920,1080,1249,1165,756,676.3623289,169,179
162,1185,1109,114,114,12996,-7.229001316,3840,2160,42,1920,1080,1242,1166,764,683.4325131,169,179
163,1178,1110,114,114,12996,-7.238228627,3840,2160,42,1920,1080,1235,1167,772,690.5027154,169,179
164,1172,1111,114,114,12996,-7.257645231,3840,2160,42,1920,1080,1229,1168,779,696.5809357,169,179
165,1166,1112,114,114,12996,-7.276725914,3840,2160,42,1920,1080,1223,1169,786,702.6592346,169,179
166,1161,1112,114,113,12882,-7.185280097,3840,2160,42,1920,1080,1218,1168.5,790.5,707.5565348,169,179
167,1156,1113,113,113,12769,-7.209721762,3840,2160,42,1920,1080,1212.5,1169.5,797,713.1384858,169,179
168,1151,1114,114,113,12882,-7.243835733,3840,2160,42,1920,1080,1208,1170.5,802.5,717.728535,169,179
169,1147,1115,113,113,12769,-7.277516132,3840,2160,42,1920,1080,1203.5,1171.5,808,722.3188354,169,179
170,1143,1116,114,114,12996,-7.359954159,3840,2160,42,1920,1080,1200,1173,813,725.9814047,169,179
171,1139,1116,114,113,12882,-7.280803623,3840,2160,42,1920,1080,1196,1172.5,816.5,729.8850937,169,179
